               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.021305,           0.0060611,                   0,             0.97155,             0.91964,             0.97108,             0.78908,            0.014299,           0.0036756,                   0,           0.0015705,           0.0015705,           0.0015705
                 111,            0.021289,           0.0063972,                   0,             0.97187,             0.92857,             0.97112,             0.78177,            0.014552,           0.0036595,                   0,           0.0015484,           0.0015484,           0.0015484
                 112,            0.020852,           0.0061585,                   0,             0.99951,             0.91964,             0.96865,             0.78827,            0.014307,           0.0035512,                   0,           0.0015264,           0.0015264,           0.0015264
                 113,            0.021368,           0.0060551,                   0,             0.98996,              0.9375,             0.97047,             0.76754,            0.015451,           0.0036028,                   0,           0.0015045,           0.0015045,           0.0015045
                 114,            0.021968,           0.0064462,                   0,             0.98148,             0.94641,             0.97391,             0.78669,             0.01542,           0.0037637,                   0,           0.0014827,           0.0014827,           0.0014827
                 115,            0.020821,           0.0059853,                   0,             0.99989,             0.94643,             0.97745,              0.7922,            0.014221,            0.003584,                   0,            0.001461,            0.001461,            0.001461
                 116,            0.020967,           0.0059815,                   0,             0.99042,             0.94643,             0.97741,             0.78668,            0.013941,           0.0035971,                   0,           0.0014393,           0.0014393,           0.0014393
                 117,            0.020962,           0.0059016,                   0,             0.99038,             0.91957,             0.97485,             0.77884,            0.015019,           0.0037008,                   0,           0.0014177,           0.0014177,           0.0014177
                 118,            0.020434,           0.0058337,                   0,                   1,             0.90163,              0.9694,             0.76934,            0.015471,            0.003896,                   0,           0.0013962,           0.0013962,           0.0013962
                 119,            0.021011,           0.0058447,                   0,             0.99998,             0.90179,             0.96121,             0.76469,            0.014946,            0.003954,                   0,           0.0013748,           0.0013748,           0.0013748
                 120,            0.020555,           0.0062376,                   0,             0.99038,             0.91964,              0.9722,             0.80431,            0.013386,           0.0035689,                   0,           0.0013535,           0.0013535,           0.0013535
                 121,            0.020418,           0.0059056,                   0,             0.99999,             0.91964,             0.97495,             0.80739,            0.013909,           0.0036041,                   0,           0.0013324,           0.0013324,           0.0013324
                 122,            0.020155,           0.0055314,                   0,             0.99038,             0.91963,             0.97091,              0.7924,            0.013488,           0.0036035,                   0,           0.0013113,           0.0013113,           0.0013113
                 123,             0.02013,           0.0056671,                   0,                   1,             0.92849,             0.97156,             0.79053,            0.014159,           0.0035931,                   0,           0.0012904,           0.0012904,           0.0012904
                 124,            0.020406,           0.0059131,                   0,             0.99998,             0.92857,             0.97786,             0.79565,            0.013698,           0.0035235,                   0,           0.0012696,           0.0012696,           0.0012696
                 125,            0.020009,           0.0055427,                   0,             0.98143,             0.94643,             0.97973,             0.79912,            0.013975,            0.003592,                   0,           0.0012489,           0.0012489,           0.0012489
                 126,            0.019976,           0.0061166,                   0,             0.98112,             0.92857,             0.97582,             0.80314,            0.013788,           0.0035594,                   0,           0.0012283,           0.0012283,           0.0012283
                 127,            0.020245,           0.0059396,                   0,             0.97243,             0.94643,             0.97939,             0.80112,            0.013819,           0.0034623,                   0,           0.0012079,           0.0012079,           0.0012079
                 128,            0.019772,           0.0058059,                   0,                   1,             0.94633,              0.9804,              0.8052,            0.013138,           0.0034178,                   0,           0.0011877,           0.0011877,           0.0011877
                 129,            0.020314,           0.0061119,                   0,             0.99059,             0.94643,             0.97963,             0.80557,            0.013001,           0.0034242,                   0,           0.0011676,           0.0011676,           0.0011676
                 130,            0.020697,           0.0059559,                   0,             0.97236,             0.94643,             0.97213,             0.80697,            0.013598,             0.00371,                   0,           0.0011476,           0.0011476,           0.0011476
                 131,            0.019877,           0.0060566,                   0,             0.99034,             0.91964,             0.96748,              0.8107,            0.013094,           0.0036803,                   0,           0.0011279,           0.0011279,           0.0011279
                 132,            0.020148,           0.0056453,                   0,                   1,             0.91958,             0.97004,             0.80266,            0.013309,           0.0036918,                   0,           0.0011082,           0.0011082,           0.0011082
                 133,            0.019703,            0.005791,                   0,             0.97221,              0.9375,             0.97311,             0.80204,            0.012955,           0.0037415,                   0,           0.0010888,           0.0010888,           0.0010888
                 134,            0.019401,           0.0054148,                   0,             0.99065,             0.94643,             0.97786,             0.81352,            0.012861,           0.0034491,                   0,           0.0010695,           0.0010695,           0.0010695
